Model,R² Score,RMSE,MAPE,CV R²
Random Forest,0.9081495020255812,46.762636140888304,0.3283812949856428,0.9039572899216599
Gradient Boosting,0.92424474648538,42.468273531985815,1.0518462560025585,0.9208230674660118
SVR,0.9002512266365598,48.73175025748672,0.7533700570209847,0.8900364072009216
Linear Regression,0.7390751324617788,78.81628558668143,4.861816788107084,0.7373678086590604
Ensemble,0.9238292840851904,42.584568079636625,0.6067838424500315,0.9123901786938359
